Trial:	Sub01ShoulderFly_geomagnetic_rotation_vector_t2.txt
Phone/Tablet Model:	HUAWEI BLN-L24
Sensor Information
Name:	huawei geomagnetic Rotation Vector
Maximum Range:	1.0 
Resolution:	5.9604645E-8 

Generated by SensorData, Version1.5.2
Author: Vipul Lugade
Email: SensorDataHelp@gmail.com
Website: www.matlabgeeks.com

Time	X*sin(θ/2)	Y*sin(θ/2)	Z*sin(θ/2)	cos(θ/2)
1512060268288	-0.023838000372052193	-0.1549839973449707	-0.9257820248603821	0.34400299191474915
1512060268296	-0.025110999122262	-0.15389199554920197	-0.9258779883384705	0.34414398670196533
1512060268307	-0.026155000552535057	-0.15342700481414795	-0.9258700013160706	0.34429600834846497
1512060268316	-0.027349000796675682	-0.15286299586296082	-0.9258710145950317	0.3444499969482422
1512060268329	-0.028113000094890594	-0.15228800475597382	-0.9258909821510315	0.3445909917354584
1512060268336	-0.028692999854683876	-0.15111400187015533	-0.9260299801826477	0.34468498826026917
1512060268349	-0.028674999251961708	-0.15010499954223633	-0.926164984703064	0.3447659909725189
1512060268356	-0.028356999158859253	-0.14910000562667847	-0.926222026348114	0.34507501125335693
1512060268369	-0.02795100025832653	-0.1478469967842102	-0.9263479709625244	0.34530800580978394
1512060268376	-0.027427999302744865	-0.14681200683116913	-0.9264519810676575	0.3455129861831665
1512060268389	-0.027504000812768936	-0.14587900042533875	-0.9265499711036682	0.3456380069255829
1512060268396	-0.027907999232411385	-0.14526699483394623	-0.9265379905700684	0.34589800238609314
1512060268409	-0.029409000650048256	-0.14499600231647491	-0.9264559745788574	0.34610500931739807
1512060268416	-0.031137000769376755	-0.14512300491333008	-0.9262109994888306	0.34655600786209106
1512060268429	-0.032492998987436295	-0.14525200426578522	-0.9258970022201538	0.34721699357032776
1512060268436	-0.03420799970626831	-0.14635300636291504	-0.9254419803619385	0.3478020131587982
1512060268449	-0.03512899950146675	-0.14860400557518005	-0.9247159957885742	0.34868699312210083
1512060268456	-0.03463999927043915	-0.15087899565696716	-0.9238569736480713	0.3500329852104187
1512060268469	-0.03342499956488609	-0.1521490067243576	-0.9230979681015015	0.3515999913215637
1512060268476	-0.032117001712322235	-0.1520940065383911	-0.9226040244102478	0.35304000973701477
1512060268489	-0.031081000342965126	-0.15090399980545044	-0.9223060011863708	0.35441699624061584
1512060268496	-0.029827000573277473	-0.14937099814414978	-0.922065019607544	0.35579898953437805
1512060268509	-0.027271000668406487	-0.14819300174713135	-0.9216930270195007	0.3574559986591339
1512060268516	-0.019122999161481857	-0.14610999822616577	-0.9212440252304077	0.35999199748039246
1512060268529	-0.0066269999369978905	-0.14506399631500244	-0.920341968536377	0.3631559908390045
1512060268536	0.004875999875366688	-0.14615200459957123	-0.9189760088920593	0.3661929965019226
1512060268549	0.010986999608576298	-0.14779900014400482	-0.9178730249404907	0.36816200613975525
1512060268556	0.00609700009226799	-0.1487009972333908	-0.9175879955291748	0.3686220049858093
1512060268576	0.0014070000033825636	-0.15007199347019196	-0.9171469807624817	0.36921200156211853
1512060268583	-0.0025430000387132168	-0.15149299800395966	-0.9166139960289001	0.3699460029602051
1512060268593	-0.005888000130653381	-0.15284299850463867	-0.9159669876098633	0.3709549903869629
1512060268598	-0.009681000374257565	-0.15383699536323547	-0.9153569936752319	0.37196898460388184
1512060268609	-0.014104999601840973	-0.15552599728107452	-0.9146050214767456	0.3729740083217621
1512060268616	-0.018758999183773994	-0.15856599807739258	-0.913561999797821	0.37404200434684753
1512060268629	-0.022559000179171562	-0.16320599615573883	-0.9121130108833313	0.3753710091114044
1512060268636	-0.024305999279022217	-0.1692119985818863	-0.9102879762649536	0.37702998518943787
1512060268650	-0.02437400072813034	-0.176146999001503	-0.9081900119781494	0.37890300154685974
1512060268656	-0.02353299967944622	-0.1830819994211197	-0.906033992767334	0.380825012922287
1512060268668	-0.022619999945163727	-0.18934199213981628	-0.9041569828987122	0.3822779953479767
1512060268676	-0.022012999281287193	-0.1946530044078827	-0.9025920033454895	0.38334301114082336
1512060268689	-0.021251000463962555	-0.1992730051279068	-0.9012280106544495	0.3842200040817261
1512060268696	-0.021057000383734703	-0.20282599329948425	-0.9002590179443359	0.38464298844337463
1512060268709	-0.02184000052511692	-0.20563699305057526	-0.89963299036026	0.38457199931144714
1512060268716	-0.024015000090003014	-0.2079080045223236	-0.8992679715156555	0.38407498598098755
1512060268729	-0.02830599993467331	-0.2089969962835312	-0.8992940187454224	0.3831299841403961
1512060268736	-0.034703999757766724	-0.20791199803352356	-0.8999090194702148	0.3817470073699951
1512060268749	-0.04234199970960617	-0.20500999689102173	-0.9008690118789673	0.380279004573822
1512060268756	-0.05154699832201004	-0.20101100206375122	-0.9019590020179749	0.3786909878253937
1512060268769	-0.06683699786663055	-0.19858799874782562	-0.902538001537323	0.3761900067329407
1512060268776	-0.08759699761867523	-0.19536900520324707	-0.9029520153999329	0.37260299921035767
1512060268789	-0.10795900225639343	-0.19116400182247162	-0.9030960202217102	0.36907699704170227
1512060268796	-0.12115400284528732	-0.18690000474452972	-0.9030529856681824	0.3672659993171692
1512060268810	-0.12142399698495865	-0.184688001871109	-0.9029449820518494	0.36855798959732056
1512060268816	-0.12028499692678452	-0.1822029948234558	-0.9029650092124939	0.3701170086860657
1512060268829	-0.11948300153017044	-0.17964400351047516	-0.9029790163040161	0.3715910017490387
1512060268836	-0.11921299993991852	-0.17678199708461761	-0.9030809998512268	0.37279900908470154
1512060268849	-0.11904600262641907	-0.17378099262714386	-0.9032779932022095	0.37378498911857605
1512060268856	-0.11928100138902664	-0.17033100128173828	-0.9036089777946472	0.3744969964027405
1512060268869	-0.11942899972200394	-0.16614200174808502	-0.9041330218315125	0.37506601214408875
1512060268876	-0.1203169971704483	-0.16070100665092468	-0.904869019985199	0.3753780126571655
1512060268889	-0.12246900051832199	-0.15496499836444855	-0.9056130051612854	0.3753010034561157
1512060268896	-0.12535600364208221	-0.1494479924440384	-0.9062529802322388	0.3750390112400055
1512060268909	-0.127593994140625	-0.14483200013637543	-0.9068149924278259	0.37473800778388977
1512060268916	-0.12871700525283813	-0.14170999825000763	-0.907243013381958	0.3745110034942627
1512060268930	-0.12870900332927704	-0.13959400355815887	-0.9076470136642456	0.37432998418807983
1512060268937	-0.1283389925956726	-0.1378459930419922	-0.9080349802970886	0.37416499853134155
1512060268949	-0.12817199528217316	-0.13756999373435974	-0.9082030057907104	0.3739140033721924
1512060268956	-0.12846200168132782	-0.13814300298690796	-0.9082549810409546	0.3734779953956604
1512060268968	-0.1295499950647354	-0.13946199417114258	-0.9081400036811829	0.37289100885391235
1512060268976	-0.13108600676059723	-0.1423259973526001	-0.9078099727630615	0.3720740079879761
